The Market Hub #,Listing Channel: Listing Channel #,Zillow Snapshot: Zillow Snapshot Name,Listing Status,Days on Market,Views,Saves,Zillow Link
L - 0855,LC - 3068,ZS-0001,FOR_SALE,180,87,4,https://www.zillow.com/homedetails/Blue-Stem-Dr-Elkhart-IL-62634/402862891_zpid/
L - 0866,LC - 5592,ZS-0002,OTHER,,,,"https://www.zillow.com/homes/326-County-Road-326-Yoakum,-TX-77995_rb/439590458_zpid/"
L - 1110,LC - 6320,ZS-0003,OTHER,,,,https://www.zillow.com/homedetails/Breezy-Dr-Brownwood-TX-76801/443349895_zpid/
L - 1259,LC - 8221,ZS-0004,FOR_SALE,82,238,18,https://www.zillow.com/homedetails/12020-Trailwood-Dr-Whitney-TX-76692/224888887_zpid/
L - 1306,LC - 8549,ZS-0005,FOR_SALE,25,109,8,https://www.zillow.com/homedetails/0-N-3rd-St-150-Christine-TX-78012/461489094_zpid/
L - 1386,LC - 9117,ZS-0006,FOR_SALE,34,493,38,https://www.zillow.com/homedetails/0-Valhalla-Dr-Cleveland-GA-30528/2102134951_zpid/
L - 1409,LC - 9325,ZS-0007,FOR_SALE,104,62,3,https://www.zillow.com/homedetails/7768-Della-Bitta-Ln-Bokeelia-FL-33922/103342339_zpid/
L - 1410,LC - 9340,ZS-0008,FOR_SALE,63,509,32,https://www.zillow.com/homedetails/S-Medical-Lake-Rd-Medical-Lake-WA-99022/2054277710_zpid/?
L - 1414,LC - 9376,ZS-0009,FOR_SALE,46,592,50,https://www.zillow.com/homedetails/108-Wadley-St-Sylvania-GA-30467/235448213_zpid/
L - 1420,LC - 9431,ZS-0010,FOR_SALE,50,216,18,https://www.zillow.com/homedetails/8014-Jersey-Rd-Salisbury-MD-21801/64792634_zpid/
L - 1423,LC - 9453,ZS-0011,FOR_SALE,46,216,21,https://www.zillow.com/homedetails/0-County-Road-4557-Bivins-TX-75555/461000405_zpid/
L - 1424,LC - 9457,ZS-0012,FOR_SALE,47,319,15,https://www.zillow.com/homedetails/2-Hidden-Creek-Rd-Ferguson-NC-28624/461009813_zpid/
L - 1425,LC - 9474,ZS-0013,FOR_SALE,38,350,24,https://www.zillow.com/homedetails/0-County-Road-18-LOT-9-Richville-NY-13681/461187268_zpid/
L - 1426,LC - 9478,ZS-0014,FOR_SALE,28,288,16,https://www.zillow.com/homedetails/0-Charlie-Lawson-Rd-Virgilina-VA-24598/2058294291_zpid/?altId=5632005_VAHX2000170
L - 1428,LC - 9486,ZS-0015,FOR_SALE,28,409,31,https://www.zillow.com/homedetails/County-Road-323-86-Orange-Grove-TX-78372/461387731_zpid/?
L - 1433,LC - 9511,ZS-0016,FOR_SALE,22,310,16,https://www.zillow.com/homedetails/152-Route-Joppa-MD-21085/449672299_zpid/
L - 1438,LC - 9536,ZS-0017,FOR_SALE,16,371,20,https://www.zillow.com/homedetails/2131-Oakville-Waltz-Rd-New-Boston-MI-48164/24219377_zpid/
L - 1437,LC - 9539,ZS-0018,FOR_SALE,17,917,78,https://www.zillow.com/homedetails/0-Walker-Rd-LOT-3-Utica-NY-13502/461625697_zpid/
L - 1440,LC - 9557,ZS-0019,FOR_SALE,11,341,45,https://www.zillow.com/homedetails/1601-Dania-Dr-Fort-Washington-MD-20744/37377671_zpid/
L - 1446,LC - 9565,ZS-0020,FOR_SALE,6,354,26,https://www.zillow.com/homedetails/Bethlehem-Rd-Oakland-MD-21550/452496352_zpid/
L - 1443,LC - 9563,ZS-0021,FOR_SALE,8,195,11,https://www.zillow.com/homedetails/1569-Amish-Rd-Grantsville-MD-21536/36905847_zpid/?spellCorrectedMetadata=%7B%22userQuery%22%3A%221569%20Amish%20Rd%2C%20Grantsville%2C%20MD%2021536%22%2C%22spellCorrectedQuery%22%3A%221569%20Amish%20Rd%20Grantsville%2C%2
L - 1447,LC - 9572,ZS-0022,FOR_SALE,4,163,7,https://www.zillow.com/homedetails/40-Red-Maple-Ct-North-Augusta-SC-29841/68358399_zpid/
